,Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg),roundedV,dV,Charge_dQ,dQ/dV,G_Smoothed_dQ/dV
0,5,150.0288411931946,2011-01-24 10:56:44,30.014208613004723,2,1,0.5498448610305786,3.97797441482544,0.004585678946972,0.0,0.018191501789115,0.0,0.0003887653292622,0.0,0,0,0,3.978,0.11533784866333097,0.0,0.0,0.3651324538528003
1,6,180.04374377077258,2011-01-24 10:57:14,60.02911119559518,2,1,0.5498448610305786,3.991905689239502,0.009171441059475,0.0,0.036467236872083,0.0,0.0003563881036825,0.0,0,0,0,3.992,0.013931274414062056,0.004585762112503,0.32917032399233975,0.3942186034588548
2,7,210.05887030652323,2011-01-24 10:57:44,90.04423772132083,2,1,0.5498448610305786,4.002111434936523,0.01375722157637,0.0,0.054797590414336,0.0,0.0002267837553517,0.0,0,0,0,4.002,0.010205745697021484,0.004585780516895,0.44933321415537,0.44701658169505076
3,8,240.07400520311165,2011-01-24 10:58:14,120.05937263294672,2,1,0.5500248074531555,4.010696887969971,0.018342999368774,0.0,0.073170508611419,0.0,0.0002267837553517,0.0,0,0,0,4.011,0.008585453033447266,0.004585777792403999,0.534133466753437,0.5146751689293793
4,9,270.0913892051629,2011-01-24 10:58:44,150.07675668011044,2,1,0.5500248074531555,4.017824649810791,0.022929152863841,0.0,0.091580136796582,0.0,0.0002268791140522,0.0,0,0,0,4.018,0.0071277618408203125,0.004586153495067,0.6434212586624799,0.5876665101845073
5,10,300.1041817639247,2011-01-24 10:59:14,180.08954917370986,2,1,0.5500248074531555,4.023980140686035,0.027514598129683,0.0,0.110017810550328,0.0,0.0001620292605366,0.0,0,0,0,4.024,0.006155490875244141,0.004585445265842002,0.744935758784653,0.6581761053655626
6,11,330.1193143096541,2011-01-24 10:59:44,210.1046817394892,2,1,0.5500248074531555,4.030135631561279,0.032100421161143,0.0,0.128485174977225,0.0,0.0001943588285939,0.0,0,0,0,4.03,0.006155490875244141,0.004585823031459997,0.7449971292952511,0.7212998236312356
7,12,360.134409176476,2011-01-24 11:00:14,240.11977660631112,2,1,0.5500248074531555,4.035481452941895,0.036686194185821,0.0,0.146978719461903,0.0,0.0001296043337788,0.0,0,0,0,4.035,0.0053458213806161226,0.004585773024678004,0.8578238400007071,0.7750116724516187
8,13,390.1494986799308,2011-01-24 11:00:44,270.13486610475337,2,1,0.5502047538757324,4.040989398956299,0.041271976994755,0.0,0.165497465934553,0.0,0.0001296043337788,0.0,0,0,0,4.041,0.005507946014403409,0.004585782808934,0.8325758453227519,0.8194191142910967
9,14,420.1646107446151,2011-01-24 11:01:14,300.1499781443752,2,1,0.5502047538757324,4.046173095703125,0.045857819462125,0.0,0.18404070792917,0.0,0.0001620292605366,0.0,0,0,0,4.046,0.005183696746826172,0.004585842467369997,0.884666424627902,0.8558141845746604
10,15,450.1797513955451,2011-01-24 11:01:44,330.16511883039266,2,1,0.5500248074531555,4.051194667816162,0.050443644787671,0.0,0.202607470887936,0.0,0.0001296043337788,0.0,0,0,0,4.051,0.005021572113037109,0.004585825325546002,0.9132250264095954,0.8858711049240797
11,16,480.1949268231493,2011-01-24 11:02:14,360.1802943883216,2,1,0.5500248074531555,4.056216239929199,0.055029511458039,0.0,0.2211974438835,0.0,0.0001295089750783,0.0,0,0,0,4.056,0.005021572113037109,0.004585866670367998,0.913233259851447,0.9110799815212446
12,17,510.2100703011252,2011-01-24 11:02:44,390.1954377259478,2,1,0.5502047538757324,4.0612382888793945,0.05961541295417,0.0,0.239810133594162,0.0,0.0001620292605366,0.0,0,0,0,4.061,0.0050220489501953125,0.004585901496131001,0.913153484087934,0.9324394151889694
13,18,540.2250319960418,2011-01-24 11:03:14,420.2103994208643,2,1,0.5502047538757324,4.065936088562012,0.064201251891258,0.0,0.258444433960447,0.0,0.0001620292605366,0.0,0,0,0,4.066,0.0046977996826171875,0.004585838937087999,0.9761674074900499,0.9503865023715279
14,19,570.240848481359,2011-01-24 11:03:44,450.2262158811191,2,1,0.5500248074531555,4.07047176361084,0.068787267713911,0.0,0.277101184867061,0.0,0.0001296043337788,0.0,0,0,0,4.07,0.004535675048828125,0.004586015822653,1.011098849296508,0.9649877709620746
15,20,600.2421785871611,2011-01-24 11:04:14,480.227546137296,2,1,0.5500248074531555,4.075169563293457,0.073370992697483,0.0,0.295770061514569,0.0,0.0001296043337788,0.0,0,0,0,4.075,0.0046977996826171875,0.004583724983571999,0.975717419483149,0.976235790458562
16,21,630.2548585703499,2011-01-24 11:04:44,510.2402259751226,2,1,0.5500248074531555,4.079705238342285,0.077956289335864,0.0,0.314466627774334,0.0,9.71794142969884e-05,0.0,0,0,0,4.08,0.004535675048828125,0.004585296638381003,1.0109402876129099,0.9843262363381824
17,22,660.270064904984,2011-01-24 11:05:14,540.2554324400813,2,1,0.5498448610305786,4.084240913391113,0.082542036471652,0.0,0.333186153220684,0.0,9.71794142969884e-05,0.0,0,0,0,4.084,0.004535675048828125,0.004585747135787993,1.0110396107350779,0.9897547428131332
